pos,code,city,country,lat,lon
0,SF,SAN FRANCISCO,US,37.77,-122.42
1,DAL,DALLAS,US,32.78,-96.80
2,HOU,HOUSTON,US,29.76,-95.37
3,CH,CHICAGO,US,41.88,-87.63
6,CMB,COLUMBUS,US,39.96,-83.0
4,T,TAMPA,US,27.95,-82.46
7,NWK,NEWARK,US,39.68,-75.75
8,JC,JERSEY CITY,US,40.73,-74.08
9,NYC,NEW YORK,US,40.71,-74.0
5,BA,BUENOS ARIES,AR,-34.60,-58.38
10,GLA,GLASGOW,GB,55.86,-4.25
11,BMT,BOURNEMOUTH,GB,50.72,-1.88
12,LON,LONDON,GB,51.51,-0.13
13,MUM,MUMBAI,IN,19.08,72.88
15,BNG,BENGALARU,IN,12.97,77.59
14,HYD,HYDERABAD,IN,17.39,78.49
16,CH,CHENNAI,IN,13.08,80.27
17,KK,KOLKATA,IN,22.57,88.36
18,SIN,SINGAPORE,SG,1.35,103.82
19,HK,HONG KONG,CN,22.4,114.11
20,TP,TAIPEI,CN,25.03,121.57
21,TYO,TOKYO,JP,35.69,139.69
